groupe_sanguin;sexe;id_client;usage_vehicule;type_vehicule;date_demande;etat_dossier;formule;Presence_enfant;Tranche_revenus;Index_Personaliser;Tranche_Age_vehicule;Type_conduite_new;Typologie_employeur;Tranche_Age;Points_perdus_new;Enfant_conduite_accompagne_new;Tranche_Resid_Princ;Code_dept;Intervalle_Tarifs_Devis;Niveau_Instruction
B+;M;674266132;Private;Minivan;24/01/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-3675;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Non;Non;Locataire;66;"[325€; 350€[";Licence/Bac+3
AB+;F;342815012;Private;Sports Car;23/05/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-3679;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Oui;"[200k€; 250k€[";18;"[300€; 325€[";Licence/Bac+3
O-;M;495762787;Commercial;z_SUV;12/05/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-3683;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Non;Non;Locataire;19;"[250€; 275€[";Lycée ou après
A-;M;438426733;Private;z_SUV;25/02/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-3687;De 5 à 9 ans;Urban;Type S.A.R.L;80 ans à plus;Non;Oui;"[200k€; 250k€[";77;"[275€; 300€[";Licence/Bac+3
A+;F;103663917;Private;Minivan;20/05/2022;complet;dev_express;Oui;"[0; 20K€[";C22-3691;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Non;Oui;Locataire;78;"[250€; 275€[";Avant Lycée
O+;F;331518489;Commercial;Panel Truck;22/02/2022;complet;dev_premium;Oui;"[120K€; Et plus [";C22-3695;De 5 à 9 ans;Urban;Type S.A;60 à 79 ans;Non;Non;Locataire;06;"[350€; et plus[";Doctorat/Bac+8
O-;F;437360701;Private;Minivan;23/02/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-3699;De 5 à 9 ans;Urban;Sans précision;20 à 39 ans;Non;Oui;"[150k€; 200k€[";41;"[250€; 275€[";Avant Lycée
AB+;M;131312301;Private;z_SUV;28/03/2022;complet;dev_premium;Oui;"[60K€; 80K€[";C22-3703;De 0 à 4 ans;Urban;Type S.A.R.L;Moins de 20 ans;Oui;Non;"[250k€; 300k€[";03;"[350€; et plus[";Lycée ou après
B+;F;340661905;Commercial;z_SUV;02/05/2022;complet;dev_express;Non;"[0; 20K€[";C22-3707;De 5 à 9 ans;Rural;Sans précision;40 à 59 ans;Non;Non;Sans précision;37;"[275€; 300€[";Lycée ou après
B-;F;642175890;Private;Sports Car;20/03/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-3711;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;41;"[300€; 325€[";Avant Lycée
A+;M;346258674;Commercial;z_SUV;23/04/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-3715;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[150k€; 200k€[";87;"[300€; 325€[";Lycée ou après
O+;M;797568231;Commercial;Minivan;11/04/2022;complet;dev_express;Non;"[80K€; 100K€[";C22-3719;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Sans précision;72;"[275€; 300€[";Licence/Bac+3
O+;M;716593188;Commercial;Van;23/04/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-3723;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[200k€; 250k€[";25;"[300€; 325€[";Master/Bac+5
AB+;M;127519263;Commercial;Panel Truck;13/04/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-3727;De 0 à 4 ans;Rural;Type S.A;40 à 59 ans;Non;Non;"[150k€; 200k€[";72;"[275€; 300€[";Lycée ou après
O+;M;908005205;Commercial;Pickup;26/03/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-3731;De 10 à 14 ans;Rural;Type S.A;Moins de 20 ans;Oui;Non;"[200k€; 250k€[";85;"[275€; 300€[";Licence/Bac+3
O+;F;482073984;Commercial;Panel Truck;28/02/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-3735;De 5 à 9 ans;Urban;Type S.A.S;40 à 59 ans;Non;Non;"[250k€; 300k€[";75;"[275€; 300€[";Licence/Bac+3
O-;F;850314594;Private;Minivan;18/03/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-3739;De 0 à 4 ans;Urban;Type S.A.S;60 à 79 ans;Non;Non;Locataire;10;"[300€; 325€[";Doctorat/Bac+8
AB-;M;612724512;Commercial;Minivan;17/02/2022;complet;dev_express;Oui;"[80K€; 100K€[";C22-3743;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Oui;Oui;Locataire;03;"[250€; 275€[";Licence/Bac+3
B-;M;639408362;Commercial;Minivan;23/02/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-3747;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[200k€; 250k€[";65;"[350€; et plus[";Licence/Bac+3
A+;F;204049784;Private;Minivan;23/01/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-3751;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Non;Non;"[150k€; 200k€[";49;"[275€; 300€[";Master/Bac+5
A+;M;160172662;Private;Minivan;03/05/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-3755;De 0 à 4 ans;Urban;Type S.A;20 à 39 ans;Non;Non;"[100k€; 150k€[ ";35;"[275€; 300€[";Avant Lycée
A+;M;266148272;Private;Van;17/01/2022;complet;dev_premium;Non;"[20K€; 40K€[";C22-3759;De 10 à 14 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;"[150k€; 200k€[";69;"[350€; et plus[";Lycée ou après
AB-;M;544560620;Commercial;z_SUV;17/05/2022;complet;dev_integral;Non;"[100K€; 120K€[";C22-3763;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;[300k€ à 350k€[;63;"[300€; 325€[";Lycée ou après
B+;F;882704506;Commercial;Panel Truck;08/02/2022;complet;dev_premium;Oui;"[100K€; 120K€[";C22-3767;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Oui;Oui;[300k€ à 350k€[;69;"[350€; et plus[";Licence/Bac+3
AB+;M;357974300;Private;z_SUV;06/01/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-3771;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[200k€; 250k€[";55;"[250€; 275€[";Licence/Bac+3
A+;F;887285113;Commercial;Pickup;18/03/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-3775;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Non;Non;Locataire;61;"[250€; 275€[";Master/Bac+5
AB+;F;751140703;Private;Sports Car;20/04/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-3779;De 5 à 9 ans;Urban;Type S.A.R.L;80 ans à plus;Oui;Non;Locataire;86;"[250€; 275€[";Licence/Bac+3
O+;F;799546273;Private;z_SUV;05/01/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-3783;De 15 à 19 ans;Urban;Type S.A.R.L;Moins de 20 ans;Oui;Non;Locataire;86;"[325€; 350€[";Master/Bac+5
B+;F;612835729;Private;Minivan;07/03/2022;complet;dev_express;Oui;"[0; 20K€[";C22-3787;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[50k€; 100k€[";64;"[250€; 275€[";Avant Lycée
A-;M;637224986;Private;Minivan;08/04/2022;complet;dev_premium;Non;"[60K€; 80K€[";C22-3791;De 10 à 14 ans;Urban;Type S.A.S;20 à 39 ans;Non;Non;"[150k€; 200k€[";92;"[350€; et plus[";Licence/Bac+3
O-;F;895787911;Commercial;Panel Truck;13/01/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-3795;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[350k€; et plus[";67;"[325€; 350€[";Master/Bac+5
B-;M;409115771;Private;Minivan;22/01/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-3799;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Non;Non;[300k€ à 350k€[;29;"[275€; 300€[";Master/Bac+5
B-;M;967096094;Private;z_SUV;13/05/2022;complet;dev_premium;Oui;"[120K€; Et plus [";C22-3803;De 10 à 14 ans;Urban;Type S.A;60 à 79 ans;Oui;Oui;[300k€ à 350k€[;24;"[350€; et plus[";Licence/Bac+3
A+;F;318075197;Private;z_SUV;01/03/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-3807;De 15 à 19 ans;Urban;Type S.A;80 ans à plus;Oui;Oui;"[150k€; 200k€[";05;"[250€; 275€[";Master/Bac+5
A+;M;464738176;Private;Sports Car;17/05/2022;complet;dev_integral;Non;"[0; 20K€[";C22-3811;De 5 à 9 ans;Rural;Sans précision;20 à 39 ans;Oui;Non;"[50k€; 100k€[";58;"[300€; 325€[";Avant Lycée
A+;M;20057040;Private;Minivan;27/02/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-3815;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;52;"[325€; 350€[";Doctorat/Bac+8
AB-;M;117358712;Private;z_SUV;14/01/2022;complet;dev_express;Oui;"[0; 20K€[";C22-3819;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;Locataire;50;"[250€; 275€[";Lycée ou après
AB+;M;797925473;Private;z_SUV;12/04/2022;complet;dev_vip;Oui;"[0; 20K€[";C22-3823;De 10 à 14 ans;Rural;Sans précision;20 à 39 ans;Oui;Oui;"[100k€; 150k€[ ";41;"[350€; et plus[";Licence/Bac+3
O+;F;909760044;Private;z_SUV;03/04/2022;complet;dev_integral;Non;"[0; 20K€[";C22-3827;De 10 à 14 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Non;Locataire;52;"[325€; 350€[";Licence/Bac+3
AB-;M;631867230;Commercial;Pickup;15/02/2022;complet;dev_premium;Oui;"[20K€; 40K€[";C22-3831;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Non;Oui;"[100k€; 150k€[ ";47;"[350€; et plus[";Avant Lycée
O+;F;995880115;Commercial;Panel Truck;21/04/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-3835;De 15 à 19 ans;Urban;Type S.A.S;40 à 59 ans;Non;Non;"[200k€; 250k€[";48;"[250€; 275€[";Doctorat/Bac+8
A-;M;678350409;Private;Sports Car;13/04/2022;complet;dev_premium;Oui;"[0; 20K€[";C22-3839;De 0 à 4 ans;Rural;Sans précision;Moins de 20 ans;Non;Non;"[150k€; 200k€[";30;"[350€; et plus[";Lycée ou après
B-;M;729199936;Commercial;Minivan;11/02/2022;complet;dev_premium;Non;"[0; 20K€[";C22-3843;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[100k€; 150k€[ ";64;"[350€; et plus[";Licence/Bac+3
A-;F;706760299;Commercial;Pickup;13/02/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-3847;De 0 à 4 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;Sans précision;38;"[350€; et plus[";Lycée ou après
AB+;M;801539934;Private;z_SUV;16/05/2022;complet;dev_premium;Non;"[100K€; 120K€[";C22-3851;De 15 à 19 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;Locataire;12;"[350€; et plus[";Doctorat/Bac+8
B-;F;89979221;Private;Minivan;18/03/2022;complet;dev_integral;Oui;"[120K€; Et plus [";C22-3855;De 20 ans à plus;Urban;Type S.A.R.L;40 à 59 ans;Non;Oui;"[350k€; et plus[";61;"[325€; 350€[";Master/Bac+5
AB-;F;115481174;Private;Minivan;18/01/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-3859;De 0 à 4 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;"[200k€; 250k€[";71;"[275€; 300€[";Avant Lycée
A-;F;876968470;Commercial;Panel Truck;23/05/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-3863;De 10 à 14 ans;Urban;Type S.A.S;Moins de 20 ans;Oui;Non;"[350k€; et plus[";92;"[250€; 275€[";Doctorat/Bac+8
AB-;M;906904164;Private;z_SUV;16/03/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-3867;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[350k€; et plus[";44;"[250€; 275€[";Doctorat/Bac+8
A-;M;377082209;Private;Sports Car;04/04/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-3871;De 0 à 4 ans;Urban;Type S.A;Moins de 20 ans;Non;Non;"[350k€; et plus[";88;"[325€; 350€[";Doctorat/Bac+8
AB+;M;811953830;Private;Sports Car;31/03/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-3875;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Non;Non;Sans précision;07;"[275€; 300€[";Avant Lycée
A-;F;263468984;Private;Minivan;28/02/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-3879;De 20 ans à plus;Urban;Type S.A.S;40 à 59 ans;Oui;Non;"[200k€; 250k€[";13;"[250€; 275€[";Master/Bac+5
A+;M;624090718;Private;Minivan;16/04/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-3883;De 0 à 4 ans;Rural;Type S.A.R.L;40 à 59 ans;Non;Non;"[150k€; 200k€[";39;"[350€; et plus[";Lycée ou après
A+;F;476279875;Private;z_SUV;12/02/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-3887;De 15 à 19 ans;Urban;Type S.A.R.L;40 à 59 ans;Oui;Non;Locataire;71;"[350€; et plus[";Master/Bac+5
AB-;M;260647630;Private;z_SUV;29/01/2022;complet;dev_express;Non;"[0; 20K€[";C22-3891;De 10 à 14 ans;Rural;Type S.A;40 à 59 ans;Non;Non;"[50k€; 100k€[";80;"[250€; 275€[";Licence/Bac+3
B+;F;273921420;Private;z_SUV;30/04/2022;complet;dev_express;Non;"[0; 20K€[";C22-3895;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[150k€; 200k€[";31;"[250€; 275€[";Lycée ou après
O+;F;421316364;Commercial;Van;25/02/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-3899;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Non;Non;Locataire;82;"[300€; 325€[";Master/Bac+5
B+;M;994720648;Private;Pickup;30/04/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-3903;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[100k€; 150k€[ ";09;"[250€; 275€[";Lycée ou après
O+;F;30587067;Private;Minivan;25/02/2022;complet;dev_express;Non;"[80K€; 100K€[";C22-3907;De 15 à 19 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;"[200k€; 250k€[";76;"[250€; 275€[";Master/Bac+5
A+;F;725245227;Private;Minivan;06/05/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-3911;De 0 à 4 ans;Rural;Sans précision;40 à 59 ans;Oui;Non;Locataire;62;"[325€; 350€[";Avant Lycée
O+;F;155093200;Private;Pickup;16/03/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-3915;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Oui;Oui;"[100k€; 150k€[ ";71;"[325€; 350€[";Avant Lycée
B+;F;616070351;Private;Minivan;06/04/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-3919;De 5 à 9 ans;Urban;Sans précision;20 à 39 ans;Non;Non;"[100k€; 150k€[ ";22;"[300€; 325€[";Lycée ou après
A-;F;283577004;Private;Minivan;06/03/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-3923;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;17;"[300€; 325€[";Licence/Bac+3
O+;M;341587786;Private;Minivan;04/03/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-3927;De 15 à 19 ans;Urban;Sans précision;80 ans à plus;Non;Non;Sans précision;38;"[250€; 275€[";Doctorat/Bac+8
O-;F;711294832;Private;Sports Car;06/05/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-3931;De 10 à 14 ans;Urban;Type S.A;60 à 79 ans;Non;Non;"[150k€; 200k€[";47;"[250€; 275€[";Licence/Bac+3
B+;F;259085468;Private;Pickup;01/02/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-3935;De 20 ans à plus;Urban;Type S.A.S;Moins de 20 ans;Oui;Non;"[150k€; 200k€[";16;"[300€; 325€[";Master/Bac+5
O+;M;693513076;Commercial;Panel Truck;16/03/2022;complet;dev_express;Oui;"[100K€; 120K€[";C22-3939;De 20 ans à plus;Urban;Type S.A;60 à 79 ans;Oui;Non;[300k€ à 350k€[;09;"[250€; 275€[";Doctorat/Bac+8
AB-;F;358036230;Commercial;Panel Truck;13/03/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-3943;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[200k€; 250k€[";62;"[350€; et plus[";Avant Lycée
B+;M;982263237;Commercial;Pickup;16/04/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-3947;De 0 à 4 ans;Urban;Type S.A;Moins de 20 ans;Non;Non;"[250k€; 300k€[";03;"[325€; 350€[";Lycée ou après
A+;M;142194056;Commercial;Panel Truck;05/03/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-3951;De 0 à 4 ans;Urban;Type S.A.S;20 à 39 ans;Oui;Non;"[250k€; 300k€[";07;"[275€; 300€[";Licence/Bac+3
O-;M;976090829;Private;Minivan;19/03/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-3955;De 15 à 19 ans;Urban;Type S.A.S;40 à 59 ans;Oui;Non;Locataire;10;"[275€; 300€[";Master/Bac+5
A+;F;489119985;Commercial;Pickup;01/05/2022;complet;dev_premium;Oui;"[0; 20K€[";C22-3959;De 0 à 4 ans;Rural;Type S.A.R.L;20 à 39 ans;Non;Non;Locataire;22;"[350€; et plus[";Lycée ou après
A+;M;340532523;Commercial;Sports Car;19/01/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-3963;De 5 à 9 ans;Urban;Type S.A;Moins de 20 ans;Oui;Non;"[100k€; 150k€[ ";01;"[325€; 350€[";Licence/Bac+3
AB-;F;117704348;Private;Pickup;23/01/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-3967;De 10 à 14 ans;Urban;Type S.A.R.L;Moins de 20 ans;Oui;Non;"[100k€; 150k€[ ";05;"[275€; 300€[";Lycée ou après
B+;F;62527035;Private;Minivan;15/03/2022;complet;dev_integral;Non;"[0; 20K€[";C22-3971;De 0 à 4 ans;Urban;Type S.A.S;40 à 59 ans;Non;Non;"[100k€; 150k€[ ";27;"[275€; 300€[";Lycée ou après
AB+;F;651748745;Commercial;Sports Car;14/01/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-3975;De 0 à 4 ans;Urban;Type S.A.R.L;Moins de 20 ans;Non;Non;"[150k€; 200k€[";30;"[300€; 325€[";Lycée ou après
A+;M;84888394;Private;Sports Car;22/01/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-3979;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;68;"[275€; 300€[";Lycée ou après
O-;F;59520624;Private;Sports Car;03/03/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-3983;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Non;Non;Locataire;40;"[275€; 300€[";Licence/Bac+3
B-;M;195485302;Private;z_SUV;01/04/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-3987;De 5 à 9 ans;Rural;Sans précision;20 à 39 ans;Oui;Non;"[50k€; 100k€[";15;"[300€; 325€[";Lycée ou après
A+;M;865694934;Commercial;Van;06/04/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-3991;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;Sans précision;77;"[325€; 350€[";Master/Bac+5
B+;M;62181943;Commercial;Pickup;16/05/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-3995;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Non;Non;Sans précision;09;"[250€; 275€[";Master/Bac+5
A-;M;990812546;Private;z_SUV;15/02/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-3999;De 10 à 14 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;Locataire;21;"[250€; 275€[";Lycée ou après
AB-;F;634828055;Private;z_SUV;16/02/2022;complet;dev_integral;Non;"[0; 20K€[";C22-4003;De 0 à 4 ans;Rural;Type S.A;80 ans à plus;Oui;Non;"[50k€; 100k€[";20;"[300€; 325€[";Avant Lycée
O-;F;938320087;Private;z_SUV;14/03/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-4007;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;87;"[250€; 275€[";Avant Lycée
O+;F;481160423;Private;z_SUV;22/04/2022;complet;dev_integral;Non;"[0; 20K€[";C22-4011;De 5 à 9 ans;Rural;Type S.A.S;80 ans à plus;Non;Non;"[100k€; 150k€[ ";87;"[300€; 325€[";Avant Lycée
O-;M;851522155;Private;Minivan;31/05/2022;complet;dev_integral;Non;"[40K€; 60K€[";C22-4015;De 10 à 14 ans;Urban;Type S.A;20 à 39 ans;Oui;Non;"[100k€; 150k€[ ";12;"[325€; 350€[";Licence/Bac+3
AB-;F;31728817;Private;z_SUV;25/02/2022;complet;dev_integral;Non;"[0; 20K€[";C22-4019;De 0 à 4 ans;Urban;Type S.A;40 à 59 ans;Non;Non;"[100k€; 150k€[ ";58;"[300€; 325€[";Lycée ou après
A+;F;893196291;Private;Minivan;12/03/2022;complet;dev_express;Non;"[0; 20K€[";C22-4023;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[50k€; 100k€[";95;"[250€; 275€[";Avant Lycée
O-;M;929148181;Private;z_SUV;25/05/2022;complet;dev_express;Non;"[0; 20K€[";C22-4027;De 0 à 4 ans;Rural;Type S.A.S;40 à 59 ans;Non;Non;"[100k€; 150k€[ ";09;"[250€; 275€[";Avant Lycée
AB+;F;288118526;Private;z_SUV;11/02/2022;complet;dev_express;Oui;"[0; 20K€[";C22-4031;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[100k€; 150k€[ ";34;"[250€; 275€[";Lycée ou après
B+;M;818483184;Commercial;Panel Truck;09/02/2022;complet;dev_express;Oui;"[40K€; 60K€[";C22-4035;De 10 à 14 ans;Urban;Type S.A;40 à 59 ans;Non;Oui;"[200k€; 250k€[";55;"[250€; 275€[";Master/Bac+5
AB-;F;777877285;Private;z_SUV;23/04/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-4039;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Non;Locataire;18;"[275€; 300€[";Master/Bac+5
O-;F;272342712;Private;z_SUV;06/03/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-4043;De 10 à 14 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;"[200k€; 250k€[";80;"[325€; 350€[";Licence/Bac+3
O-;M;952181357;Private;z_SUV;18/03/2022;complet;dev_express;Oui;"[40K€; 60K€[";C22-4047;De 0 à 4 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;"[100k€; 150k€[ ";80;"[250€; 275€[";Lycée ou après
A+;F;298571479;Private;Pickup;29/03/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-4051;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;03;"[250€; 275€[";Licence/Bac+3
B+;M;253235211;Commercial;Pickup;30/03/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-4055;De 0 à 4 ans;Rural;Sans précision;Moins de 20 ans;Non;Non;"[100k€; 150k€[ ";31;"[250€; 275€[";Lycée ou après
A+;M;539678669;Private;Minivan;18/05/2022;complet;dev_express;Oui;"[120K€; Et plus [";C22-4059;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[350k€; et plus[";21;"[275€; 300€[";Lycée ou après
AB-;M;411355078;Private;Minivan;01/05/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-4063;De 5 à 9 ans;Urban;Type S.A.R.L;40 à 59 ans;Oui;Oui;"[200k€; 250k€[";64;"[275€; 300€[";Licence/Bac+3
B-;M;784157785;Private;Minivan;04/03/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-4067;De 15 à 19 ans;Rural;Sans précision;80 ans à plus;Non;Non;Locataire;55;"[275€; 300€[";Master/Bac+5
AB+;M;51707702;Private;Minivan;12/03/2022;complet;dev_premium;Oui;"[100K€; 120K€[";C22-4071;De 10 à 14 ans;Urban;Type S.A.S;40 à 59 ans;Non;Oui;[300k€ à 350k€[;83;"[350€; et plus[";Master/Bac+5
A-;M;578066544;Commercial;Minivan;14/03/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-4075;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[100k€; 150k€[ ";25;"[250€; 275€[";Lycée ou après
B-;F;354783439;Private;Minivan;29/01/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-4079;De 15 à 19 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;"[200k€; 250k€[";79;"[350€; et plus[";Master/Bac+5
O+;F;40601203;Private;Sports Car;09/05/2022;complet;dev_premium;Non;"[0; 20K€[";C22-4083;De 5 à 9 ans;Rural;Type S.A;60 à 79 ans;Oui;Non;Locataire;57;"[350€; et plus[";Avant Lycée
AB+;F;245429311;Private;Sports Car;15/01/2022;complet;dev_premium;Non;"[100K€; 120K€[";C22-4087;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[350k€; et plus[";89;"[350€; et plus[";Master/Bac+5
O-;M;374898992;Private;Minivan;11/05/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-4091;De 0 à 4 ans;Rural;Type S.A;Moins de 20 ans;Oui;Non;"[100k€; 150k€[ ";69;"[250€; 275€[";Lycée ou après
O+;M;259738055;Private;z_SUV;22/05/2022;complet;dev_integral;Oui;"[80K€; 100K€[";C22-4095;De 0 à 4 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Non;"[200k€; 250k€[";62;"[300€; 325€[";Master/Bac+5
A+;M;580771137;Private;Sports Car;16/03/2022;complet;dev_premium;Oui;"[40K€; 60K€[";C22-4099;De 15 à 19 ans;Urban;Type S.A.S;40 à 59 ans;Non;Non;"[150k€; 200k€[";59;"[350€; et plus[";Master/Bac+5
AB-;F;185797662;Private;z_SUV;10/02/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-4103;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[250k€; 300k€[";91;"[275€; 300€[";Licence/Bac+3
AB-;F;94006069;Private;z_SUV;30/05/2022;complet;dev_express;Oui;"[0; 20K€[";C22-4107;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;86;"[250€; 275€[";Lycée ou après
B-;M;635166021;Commercial;z_SUV;10/01/2022;complet;dev_integral;Non;"[0; 20K€[";C22-4111;De 10 à 14 ans;Urban;Type S.A.R.L;Moins de 20 ans;Oui;Non;Locataire;19;"[300€; 325€[";Licence/Bac+3
B+;M;387957280;Private;z_SUV;21/05/2022;complet;dev_integral;Oui;"[20K€; 40K€[";C22-4115;De 5 à 9 ans;Urban;Type S.A;20 à 39 ans;Oui;Oui;Locataire;04;"[275€; 300€[";Lycée ou après
